zip_code,HUD Area Code,HUD Metro Fair Market Rent Area Name,city,state,0BR,0BR_90,0BR_110,1BR,1BR_90,1BR_110,2BR,2BR_90,2BR_110,3BR,3BR_90,3BR_110,4BR,4BR_90,4BR_110
08048,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1540,$1386,$1694,$1710,$1539,$1881,$2050,$1845,$2255,$2480,$2232,$2728,$2860,$2574,$3146
08049,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1160,$1044,$1276,$1290,$1161,$1419,$1540,$1386,$1694,$1860,$1674,$2046,$2150,$1935,$2365
08051,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1560,$1404,$1716,$1740,$1566,$1914,$2080,$1872,$2288,$2510,$2259,$2761,$2900,$2610,$3190
08052,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1460,$1314,$1606,$1630,$1467,$1793,$1950,$1755,$2145,$2360,$2124,$2596,$2720,$2448,$2992
08053,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1780,$1602,$1958,$1980,$1782,$2178,$2370,$2133,$2607,$2870,$2583,$3157,$3300,$2970,$3630
08054,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1630,$1467,$1793,$1810,$1629,$1991,$2170,$1953,$2387,$2620,$2358,$2882,$3030,$2727,$3333
08055,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1550,$1395,$1705,$1720,$1548,$1892,$2060,$1854,$2266,$2490,$2241,$2739,$2870,$2583,$3157
08056,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1560,$1404,$1716,$1740,$1566,$1914,$2080,$1872,$2288,$2510,$2259,$2761,$2900,$2610,$3190
08057,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1420,$1278,$1562,$1580,$1422,$1738,$1890,$1701,$2079,$2290,$2061,$2519,$2640,$2376,$2904
08059,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1210,$1089,$1331,$1340,$1206,$1474,$1610,$1449,$1771,$1950,$1755,$2145,$2250,$2025,$2475
08060,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1410,$1269,$1551,$1570,$1413,$1727,$1880,$1692,$2068,$2270,$2043,$2497,$2620,$2358,$2882
08061,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1960,$1764,$2156,$2180,$1962,$2398,$2610,$2349,$2871,$3160,$2844,$3476,$3640,$3276,$4004
08062,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1290,$1161,$1419,$1440,$1296,$1584,$1720,$1548,$1892,$2080,$1872,$2288,$2400,$2160,$2640
08063,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1380,$1242,$1518,$1540,$1386,$1694,$1840,$1656,$2024,$2220,$1998,$2442,$2570,$2313,$2827
08064,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1260,$1134,$1386,$1390,$1251,$1529,$1670,$1503,$1837,$2020,$1818,$2222,$2330,$2097,$2563
08065,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1540,$1386,$1694,$1710,$1539,$1881,$2050,$1845,$2255,$2480,$2232,$2728,$2860,$2574,$3146
08066,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1070,$963,$1177,$1190,$1071,$1309,$1430,$1287,$1573,$1730,$1557,$1903,$1990,$1791,$2189
08067,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1560,$1404,$1716,$1740,$1566,$1914,$2080,$1872,$2288,$2510,$2259,$2761,$2900,$2610,$3190
08068,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1160,$1044,$1276,$1290,$1161,$1419,$1540,$1386,$1694,$1860,$1674,$2046,$2150,$1935,$2365
08069,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1210,$1089,$1331,$1340,$1206,$1474,$1610,$1449,$1771,$1950,$1755,$2145,$2250,$2025,$2475
08070,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1160,$1044,$1276,$1290,$1161,$1419,$1540,$1386,$1694,$1860,$1674,$2046,$2150,$1935,$2365
08071,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1390,$1251,$1529,$1550,$1395,$1705,$1850,$1665,$2035,$2240,$2016,$2464,$2580,$2322,$2838
08072,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1100,$990,$1210,$1230,$1107,$1353,$1470,$1323,$1617,$1780,$1602,$1958,$2050,$1845,$2255
08073,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1520,$1368,$1672,$1690,$1521,$1859,$2020,$1818,$2222,$2440,$2196,$2684,$2820,$2538,$3102
08074,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1290,$1161,$1419,$1440,$1296,$1584,$1720,$1548,$1892,$2080,$1872,$2288,$2400,$2160,$2640
08075,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1400,$1260,$1540,$1550,$1395,$1705,$1860,$1674,$2046,$2250,$2025,$2475,$2590,$2331,$2849
08077,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1820,$1638,$2002,$2020,$1818,$2222,$2420,$2178,$2662,$2930,$2637,$3223,$3370,$3033,$3707
08078,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1130,$1017,$1243,$1260,$1134,$1386,$1510,$1359,$1661,$1830,$1647,$2013,$2110,$1899,$2321
08079,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1100,$990,$1210,$1230,$1107,$1353,$1470,$1323,$1617,$1780,$1602,$1958,$2050,$1845,$2255
08080,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1640,$1476,$1804,$1820,$1638,$2002,$2180,$1962,$2398,$2640,$2376,$2904,$3040,$2736,$3344
08081,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1520,$1368,$1672,$1690,$1521,$1859,$2020,$1818,$2222,$2440,$2196,$2684,$2820,$2538,$3102
08083,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1160,$1044,$1276,$1290,$1161,$1419,$1540,$1386,$1694,$1860,$1674,$2046,$2150,$1935,$2365
